labelId,timestamp,endTimestamp
investigation,0.033,0.333
investigation,17.000,24.900
investigation,26.033,44.467
investigation,60.933,65.333
mount,65.333,67.100
investigation,67.100,71.000
investigation,102.500,109.333
investigation,150.900,151.567
investigation,183.133,183.433
investigation,184.967,194.000
investigation,195.467,201.033
investigation,237.567,245.733
investigation,253.067,262.000
investigation,267.500,297.500
investigation,320.333,321.000
investigation,330.733,332.967
mount,332.967,334.433
investigation,334.433,336.233
investigation,339.033,348.600
mount,348.600,349.667
investigation,349.667,357.600
investigation,359.733,360.400
